amount_pattern,frequency,merchant_risk,time_of_day_score,label
46.57,7.05,4,0.23,0.0
62.05,6.44,4,0.03,0.0
65.82,4.31,3,0.28,1.0
24.36,5.32,1,0.3,0.0
58.59,3.95,3,0.15,0.0
27.27,6.27,2,0.46,0.0
53.56,6.65,2,0.67,0.0
93.25,7.13,3,0.06,0.0
85.63,5.03,1,0.66,0.0
88.41,5.02,4,0.72,0.0
97.38,3.79,2,0.95,0.0
57.31,6.1,1,0.14,0.0
87.91,1.39,1,0.43,0.0
28.07,6.65,1,0.33,0.0
67.52,8.07,4,0.14,0.0
69.39,9.54,3,0.33,1.0
26.75,3.57,4,0.71,0.0
71.18,7.73,5,0.44,0.0
85.55,3.44,2,0.87,0.0
96.61,3.92,5,0.29,0.0
20.42,5.25,3,0.89,1.0
53.82,9.64,4,0.31,0.0
79.81,2.54,5,0.25,0.0
87.18,9.56,4,0.56,0.0
24.25,3.43,4,0.82,1.0
52.5,9.74,1,0.9,0.0
93.67,2.22,3,0.5,1.0
65.48,1.39,3,0.79,1.0
32.92,4.48,5,0.81,0.0
82.25,6.31,2,0.86,0.0
93.97,6.42,5,0.65,0.0
84.57,8.31,1,0.78,0.0
40.45,7.72,1,0.28,0.0
38.96,8.11,5,0.12,0.0
22.68,3.4,1,0.06,0.0
98.18,5.32,3,0.1,0.0
67.37,3.95,1,0.25,0.0
78.87,3.96,5,0.68,0.0
42.58,7.01,1,0.01,0.0
40.01,2.97,2,0.48,0.0
74.93,4.76,2,0.41,0.0
48.99,6.4,4,0.68,0.0
96.67,5.99,2,0.07,0.0
26.99,2.95,3,0.03,0.0
87.53,4.38,4,0.59,0.0
79.91,5.23,4,0.24,0.0
83.41,8.37,3,0.57,1.0
76.68,6.74,4,0.38,0.0
60.66,7.56,1,0.07,0.0
61.57,2.58,1,0.68,0.0
61.28,7.76,3,0.24,0.0
36.91,8.31,1,0.3,0.0
91.53,2.38,1,0.38,0.0
32.6,7.83,5,0.37,0.0
70.65,8.3,2,0.56,0.0
32.71,4.57,2,0.8,0.0
78.5,9.94,5,0.25,0.0
58.9,6.8,3,0.86,1.0
91.36,3.72,1,0.05,0.0
75.93,4.4,1,0.36,0.0
83.39,4.34,5,0.18,0.0
95.21,1.19,1,0.96,0.0
57.62,4.21,3,0.75,1.0
22.91,4.83,3,0.16,0.0
91.62,1.56,2,0.09,0.0
51.34,2.67,1,0.64,0.0
30.08,7.85,1,0.73,0.0
70.78,4.78,1,0.06,0.0
69.98,8.7,5,0.54,0.0
60.69,5.51,4,1.0,0.0
33.89,7.91,3,0.27,1.0
36.7,7.32,5,0.22,0.0
50.41,4.6,2,0.15,0.0
26.14,8.24,5,0.41,1.0
51.5,2.85,5,0.97,0.0
97.2,4.6,4,0.22,0.0
85.67,4.94,4,0.1,0.0
42.17,1.64,1,0.25,0.0
97.52,3.75,3,0.36,1.0
40.85,1.87,3,0.01,0.0
68.13,2.27,5,0.31,0.0
69.95,8.21,1,0.53,0.0
75.1,5.7,4,0.5,0.0
91.35,8.8,1,0.2,0.0
31.32,5.73,1,0.48,0.0
57.91,4.19,1,0.02,0.0
76.07,9.36,2,0.95,0.0
90.68,1.17,4,0.11,0.0
34.73,3.5,3,0.27,1.0
57.84,4.75,1,0.41,0.0
70.31,7.2,2,0.4,0.0
59.46,9.8,1,0.29,0.0
50.41,6.74,1,0.74,0.0
71.4,6.4,2,0.35,0.0
55.8,1.78,5,0.71,0.0
22.22,1.27,2,0.64,0.0
44.88,6.28,5,0.98,0.0
27.58,5.88,1,0.71,0.0
99.45,9.63,3,0.15,0.0
91.78,9.61,4,0.08,0.0
55.84,1.38,2,0.13,0.0
83.88,5.71,2,0.11,0.0
36.44,5.62,3,0.12,0.0
41.06,5.06,4,0.22,0.0
84.13,3.59,3,0.87,1.0
91.17,6.84,2,0.14,0.0
54.49,9.68,1,0.34,0.0
46.95,3.33,1,0.55,0.0
86.02,4.29,5,0.67,0.0
55.25,7.9,1,0.87,0.0
60.17,9.76,1,0.16,0.0
66.32,1.22,4,0.43,0.0
43.35,5.68,1,0.04,0.0
86.56,2.8,1,0.79,0.0
50.13,6.24,4,0.29,0
