s.no,Date,Quantity,Item,Price,Invoice no.,Customer Id,City,Category,Payment_Method
1,7/20/2025,60,2133,₹ 600.00,1,395,Bangalore,Accessories,Debit Card
2,8/25/2025,68,1907,₹ 680.00,2,396,Bangalore,Cosmetics,EMI
3,8/10/2025,10,2977,₹ 100.00,3,105,Bangalore,Cosmetics,Credit Card
4,8/8/2025,26,232,₹ 260.00,4,232,Kochi,Accessories,UPI
5,4/14/2025,5,3834,₹ 50.00,5,56,Pune,Accessories,EMI
6,7/30/2025,69,1576,₹ 690.00,6,171,Noida,Electronics,UPI
7,5/21/2025,77,1268,₹ 770.00,7,183,Bangalore,Electronics,Cash
8,3/14/2025,7,1881,₹ 70.00,8,55,Bangalore,Electronics,UPI
9,8/24/2025,26,1697,₹ 260.00,9,256,Pune,Cosmetics,EMI
10,2/10/2025,3,3363,₹ 30.00,10,309,Pune,Accessories,Credit Card
11,6/27/2025,67,1025,₹ 670.00,11,337,Chennai,Food,Cash
12,5/15/2025,85,1805,₹ 850.00,12,180,Kochi,Home Decor,Debit Card
13,9/1/2025,80,1237,₹ 800.00,13,329,Bangalore,Accessories,EMI
14,8/14/2025,43,1792,₹ 430.00,14,346,Pune,Home Decor,EMI
15,9/25/2025,52,3725,₹ 520.00,15,210,Pune,Cosmetics,Credit Card
16,5/9/2025,47,2123,₹ 470.00,16,239,Pune,Home Decor,Debit Card
17,5/28/2025,10,4000,₹ 100.00,17,202,Pune,Accessories,Debit Card
18,9/5/2025,88,3420,₹ 880.00,18,221,Chennai,Food,EMI
19,3/14/2025,80,3109,₹ 800.00,19,35,Bangalore,Accessories,EMI
20,3/13/2025,95,2973,₹ 950.00,20,305,Bangalore,Electronics,Cash
21,4/8/2025,48,2201,₹ 480.00,21,462,Chennai,Electronics,Cash
22,5/15/2025,25,2696,₹ 250.00,22,391,Chennai,Home Decor,UPI
23,1/1/2025,47,4641,₹ 470.00,23,200,Bangalore,Accessories,Cash
24,1/14/2025,99,174,₹ 990.00,24,131,Kochi,Electronics,Debit Card
25,5/18/2025,24,4610,₹ 240.00,25,165,Bangalore,Accessories,UPI
26,6/30/2025,57,1129,₹ 570.00,26,162,Pune,Electronics,UPI
27,1/23/2025,81,1127,₹ 810.00,27,472,Bangalore,Electronics,UPI
28,4/20/2025,66,1031,₹ 660.00,28,144,Chennai,Accessories,Cash
29,5/10/2025,81,2074,₹ 810.00,29,402,Chennai,Food,UPI
30,1/22/2025,37,3878,₹ 370.00,30,313,Chennai,Accessories,Debit Card
31,3/8/2025,96,3548,₹ 960.00,31,439,Chennai,Home Decor,Debit Card
