s.no,Date,Quantity,Item,Price,Invoice no.,Customer Id
1,20-07-2025,60,2133,₹ 600.00,1,395
2,25-08-2025,68,1907,₹ 680.00,2,396
3,10-08-2025,10,2977,₹ 100.00,3,105
4,08-08-2025,26,232,₹ 260.00,4,232
5,14-04-2025,5,3834,₹ 50.00,5,56
6,30-07-2025,69,1576,₹ 690.00,6,171
7,21-05-2025,77,1268,₹ 770.00,7,183
8,14-03-2025,7,1881,₹ 70.00,8,55
9,24-08-2025,26,1697,₹ 260.00,9,256
10,10-02-2025,3,3363,₹ 30.00,10,309
11,27-06-2025,67,1025,₹ 670.00,11,337
12,15-05-2025,85,1805,₹ 850.00,12,180
13,01-09-2025,80,1237,₹ 800.00,13,329
14,14-08-2025,43,1792,₹ 430.00,14,346
15,25-09-2025,52,3725,₹ 520.00,15,210
16,09-05-2025,47,2123,₹ 470.00,16,239
17,28-05-2025,10,4000,₹ 100.00,17,202
18,05-09-2025,88,3420,₹ 880.00,18,221
19,14-03-2025,80,3109,₹ 800.00,19,35
20,13-03-2025,95,2973,₹ 950.00,20,305
21,08-04-2025,48,2201,₹ 480.00,21,462
22,15-05-2025,25,2696,₹ 250.00,22,391
23,01-01-2025,47,4641,₹ 470.00,23,200
24,14-01-2025,99,174,₹ 990.00,24,131
25,18-05-2025,24,4610,₹ 240.00,25,165
26,30-06-2025,57,1129,₹ 570.00,26,162
27,23-01-2025,81,1127,₹ 810.00,27,472
28,20-04-2025,66,1031,₹ 660.00,28,144
29,10-05-2025,81,2074,₹ 810.00,29,402
30,22-01-2025,37,3878,₹ 370.00,30,313
31,08-03-2025,96,3548,₹ 960.00,31,439
32,12-01-2025,13,627,₹ 130.00,32,239
33,17-09-2025,76,637,₹ 760.00,33,311
34,22-08-2025,12,2530,₹ 120.00,34,157
35,15-04-2025,50,3070,₹ 500.00,35,224
36,22-02-2025,75,4690,₹ 750.00,36,475
37,18-06-2025,11,2020,₹ 110.00,37,115
38,10-04-2025,24,1396,₹ 240.00,38,409
39,04-07-2025,99,1809,₹ 990.00,39,90
40,15-07-2025,34,4870,₹ 340.00,40,28
41,04-01-2025,2,3960,₹ 20.00,41,145
42,27-04-2025,96,4927,₹ 960.00,42,452
43,19-02-2025,37,1786,₹ 370.00,43,387
44,07-06-2025,6,4931,₹ 60.00,44,10
45,24-05-2025,4,4522,₹ 40.00,45,280
46,21-05-2025,68,4649,₹ 680.00,46,479
47,12-08-2025,36,4597,₹ 360.00,47,46
48,05-06-2025,40,2566,₹ 400.00,48,53
49,21-10-2025,66,4755,₹ 660.00,49,55
50,17-10-2025,14,1876,₹ 140.00,50,39
51,31-03-2025,44,816,₹ 440.00,51,429
52,13-06-2025,60,4071,₹ 600.00,52,313
53,17-03-2025,97,1350,₹ 970.00,53,10
54,10-05-2025,13,66,₹ 130.00,54,107
55,19-02-2025,97,83,₹ 970.00,55,305
56,02-03-2025,17,708,₹ 170.00,56,380
57,22-06-2025,24,628,₹ 240.00,57,336
58,09-08-2025,87,3771,₹ 870.00,58,267
59,16-01-2025,50,3434,₹ 500.00,59,500
60,12-10-2025,45,4241,₹ 450.00,60,190
61,19-04-2025,50,529,₹ 500.00,61,168
62,31-05-2025,2,2032,₹ 20.00,62,34
63,27-01-2025,6,2654,₹ 60.00,63,289
64,11-04-2025,30,377,₹ 300.00,64,373
65,14-05-2025,44,1142,₹ 440.00,65,298
66,22-05-2025,17,4504,₹ 170.00,66,298
67,28-02-2025,71,1217,₹ 710.00,67,207
68,11-09-2025,91,4284,₹ 910.00,68,78
69,22-06-2025,76,1971,₹ 760.00,69,189
70,23-03-2025,5,2131,₹ 50.00,70,454
71,25-09-2025,71,4996,₹ 710.00,71,215
72,18-03-2025,37,2332,₹ 370.00,72,411
73,28-04-2025,54,3964,₹ 540.00,73,476
74,10-11-2025,32,864,₹ 320.00,74,105
75,25-09-2025,47,4304,₹ 470.00,75,420
76,10-03-2025,70,553,₹ 700.00,76,338
77,01-03-2025,43,3071,₹ 430.00,77,412
78,25-04-2025,55,3538,₹ 550.00,78,22
79,22-09-2025,78,569,₹ 780.00,79,97
80,06-11-2025,94,3365,₹ 940.00,80,72
81,21-02-2025,62,2302,₹ 620.00,81,399
82,02-08-2025,90,4488,₹ 900.00,82,43
83,19-10-2025,11,2525,₹ 110.00,83,209
84,29-07-2025,87,1597,₹ 870.00,84,486
85,04-07-2025,40,2674,₹ 400.00,85,377
86,16-09-2025,42,1461,₹ 420.00,86,351
87,28-10-2025,4,2676,₹ 40.00,87,233
88,15-03-2025,46,3169,₹ 460.00,88,309
89,24-06-2025,57,4820,₹ 570.00,89,344
90,21-10-2025,2,3742,₹ 20.00,90,291
91,29-10-2025,40,716,₹ 400.00,91,451
92,24-02-2025,61,3648,₹ 610.00,92,270
93,03-02-2025,19,983,₹ 190.00,93,144
94,08-05-2025,4,1650,₹ 40.00,94,322
95,22-08-2025,5,702,₹ 50.00,95,317
96,01-03-2025,97,757,₹ 970.00,96,306
97,10-05-2025,1,2036,₹ 10.00,97,396
98,05-08-2025,36,3382,₹ 360.00,98,422
99,06-08-2025,9,3626,₹ 90.00,99,145
100,26-06-2025,99,2443,₹ 990.00,100,382
101,25-01-2025,74,1946,₹ 740.00,101,358
102,03-01-2025,87,4492,₹ 870.00,102,306
103,16-09-2025,80,4348,₹ 800.00,103,131
104,06-10-2025,97,2016,₹ 970.00,104,24
105,02-10-2025,23,4126,₹ 230.00,105,110
106,22-04-2025,5,4581,₹ 50.00,106,213
107,06-04-2025,7,4737,₹ 70.00,107,153
108,10-08-2025,74,3717,₹ 740.00,108,223
109,09-08-2025,96,4111,₹ 960.00,109,76
110,13-01-2025,83,1071,₹ 830.00,110,401
111,29-03-2025,13,1621,₹ 130.00,111,192
112,10-03-2025,8,2079,₹ 80.00,112,222
113,05-01-2025,21,1773,₹ 210.00,113,148
114,05-11-2025,79,1401,₹ 790.00,114,42
115,22-03-2025,95,2343,₹ 950.00,115,54
116,08-07-2025,16,2642,₹ 160.00,116,49
117,30-01-2025,15,3679,₹ 150.00,117,44
118,14-08-2025,23,1174,₹ 230.00,118,130
119,28-03-2025,63,2851,₹ 630.00,119,320
120,25-07-2025,44,2293,₹ 440.00,120,107
121,21-10-2025,35,4403,₹ 350.00,121,185
122,11-06-2025,59,431,₹ 590.00,122,442
123,21-09-2025,33,4268,₹ 330.00,123,154
124,12-06-2025,22,1496,₹ 220.00,124,276
125,28-05-2025,31,3466,₹ 310.00,125,280
126,04-05-2025,37,4788,₹ 370.00,126,146
127,22-03-2025,76,580,₹ 760.00,127,121
128,19-06-2025,48,957,₹ 480.00,128,414
129,15-03-2025,32,388,₹ 320.00,129,242
130,17-02-2025,68,491,₹ 680.00,130,322
131,01-05-2025,90,4426,₹ 900.00,131,493
132,07-11-2025,7,716,₹ 70.00,132,1
133,08-05-2025,72,1083,₹ 720.00,133,375
134,21-05-2025,10,1780,₹ 100.00,134,359
135,16-01-2025,71,149,₹ 710.00,135,14
136,15-05-2025,70,2930,₹ 700.00,136,215
137,14-04-2025,94,4019,₹ 940.00,137,401
138,22-03-2025,16,3235,₹ 160.00,138,44
139,28-02-2025,23,36,₹ 230.00,139,224
140,17-04-2025,24,4695,₹ 240.00,140,437
141,25-09-2025,80,2357,₹ 800.00,141,195
142,03-04-2025,15,4424,₹ 150.00,142,86
143,03-06-2025,96,1058,₹ 960.00,143,182
144,01-02-2025,64,4617,₹ 640.00,144,146
145,15-08-2025,57,1032,₹ 570.00,145,489
146,09-02-2025,49,4421,₹ 490.00,146,315
147,19-04-2025,80,3190,₹ 800.00,147,422
148,17-01-2025,51,4170,₹ 510.00,148,317
149,03-10-2025,44,1271,₹ 440.00,149,453
150,09-09-2025,60,3975,₹ 600.00,150,470
151,01-09-2025,86,1691,₹ 860.00,151,113
152,29-03-2025,48,2675,₹ 480.00,152,6
153,11-06-2025,6,1421,₹ 60.00,153,174
154,25-01-2025,90,4206,₹ 900.00,154,112
155,07-07-2025,46,1430,₹ 460.00,155,165
156,02-11-2025,27,3866,₹ 270.00,156,434
157,26-09-2025,15,2419,₹ 150.00,157,51
158,27-10-2025,53,3842,₹ 530.00,158,94
159,11-09-2025,51,2753,₹ 510.00,159,82
160,28-09-2025,42,3284,₹ 420.00,160,1
161,07-03-2025,14,447,₹ 140.00,161,255
162,27-07-2025,4,3435,₹ 40.00,162,442
163,10-10-2025,82,2584,₹ 820.00,163,155
164,28-07-2025,91,4757,₹ 910.00,164,158
165,01-09-2025,96,3570,₹ 960.00,165,55
166,11-04-2025,69,4073,₹ 690.00,166,149
167,24-05-2025,55,4602,₹ 550.00,167,363
168,06-02-2025,37,1878,₹ 370.00,168,97
169,17-10-2025,18,2195,₹ 180.00,169,58
170,11-11-2025,3,1117,₹ 30.00,170,426
171,04-02-2025,47,1908,₹ 470.00,171,273
172,10-09-2025,83,2989,₹ 830.00,172,12
173,12-11-2025,93,838,₹ 930.00,173,365
174,18-10-2025,54,4366,₹ 540.00,174,149
175,21-07-2025,16,643,₹ 160.00,175,316
176,14-07-2025,67,4989,₹ 670.00,176,352
177,08-03-2025,56,4559,₹ 560.00,177,126
178,16-10-2025,90,4836,₹ 900.00,178,314
179,28-05-2025,33,3797,₹ 330.00,179,500
180,25-03-2025,96,1471,₹ 960.00,180,111
181,12-10-2025,94,3244,₹ 940.00,181,50
182,31-03-2025,96,2261,₹ 960.00,182,398
183,20-10-2025,64,4350,₹ 640.00,183,98
184,15-04-2025,99,1183,₹ 990.00,184,74
185,25-03-2025,67,2557,₹ 670.00,185,73
186,15-09-2025,58,1770,₹ 580.00,186,10
187,16-08-2025,31,2017,₹ 310.00,187,62
188,11-10-2025,5,4262,₹ 50.00,188,362
189,01-04-2025,77,2743,₹ 770.00,189,305
190,10-05-2025,89,1462,₹ 890.00,190,473
191,03-01-2025,26,1570,₹ 260.00,191,240
192,04-03-2025,78,2057,₹ 780.00,192,44
193,24-05-2025,30,3056,₹ 300.00,193,197
194,16-02-2025,76,1441,₹ 760.00,194,166
195,04-09-2025,43,4992,₹ 430.00,195,82
196,19-06-2025,37,1123,₹ 370.00,196,9
197,28-05-2025,59,3939,₹ 590.00,197,398
198,02-10-2025,70,2707,₹ 700.00,198,400
199,16-01-2025,21,3900,₹ 210.00,199,491
200,28-10-2025,68,4902,₹ 680.00,200,141
201,30-03-2025,65,637,₹ 650.00,201,486
202,15-02-2025,55,3557,₹ 550.00,202,111
203,29-03-2025,26,1878,₹ 260.00,203,141
204,03-07-2025,56,2056,₹ 560.00,204,304
205,31-01-2025,7,4427,₹ 70.00,205,261
206,23-03-2025,29,3664,₹ 290.00,206,73
207,15-07-2025,20,2253,₹ 200.00,207,185
208,15-03-2025,62,2815,₹ 620.00,208,477
209,10-08-2025,89,4842,₹ 890.00,209,216
210,07-07-2025,71,869,₹ 710.00,210,145
211,15-06-2025,66,1361,₹ 660.00,211,377
212,20-02-2025,8,1169,₹ 80.00,212,320
213,09-11-2025,18,433,₹ 180.00,213,301
214,20-08-2025,92,2547,₹ 920.00,214,86
215,30-06-2025,68,835,₹ 680.00,215,33
216,20-10-2025,34,3140,₹ 340.00,216,191
217,08-11-2025,47,4042,₹ 470.00,217,186
218,06-10-2025,21,3030,₹ 210.00,218,75
219,29-03-2025,2,3653,₹ 20.00,219,184
220,01-03-2025,35,4240,₹ 350.00,220,98
221,06-06-2025,40,3700,₹ 400.00,221,477
222,05-06-2025,72,406,₹ 720.00,222,393
223,05-11-2025,82,21,₹ 820.00,223,47
224,13-05-2025,31,4067,₹ 310.00,224,193
225,16-10-2025,38,1745,₹ 380.00,225,481
226,29-05-2025,81,2889,₹ 810.00,226,381
227,14-06-2025,95,4196,₹ 950.00,227,132
228,14-10-2025,93,4002,₹ 930.00,228,423
229,18-09-2025,76,4352,₹ 760.00,229,98
230,05-10-2025,84,1805,₹ 840.00,230,187
231,24-09-2025,3,1310,₹ 30.00,231,334
232,04-03-2025,22,164,₹ 220.00,232,151
233,07-04-2025,22,3884,₹ 220.00,233,85
234,24-02-2025,61,3281,₹ 610.00,234,494
235,22-01-2025,10,1160,₹ 100.00,235,422
236,08-03-2025,97,2099,₹ 970.00,236,51
237,25-02-2025,85,2246,₹ 850.00,237,457
238,17-09-2025,92,1736,₹ 920.00,238,466
239,19-02-2025,67,2589,₹ 670.00,239,317
240,13-10-2025,6,3238,₹ 60.00,240,33
241,02-10-2025,51,4925,₹ 510.00,241,223
242,04-04-2025,96,4387,₹ 960.00,242,145
243,10-01-2025,100,2189,₹ 900.00,243,94
244,27-02-2025,20,2315,₹ 200.00,244,49
245,15-07-2025,29,3190,₹ 290.00,245,368
246,12-04-2025,31,1344,₹ 310.00,246,252
247,28-05-2025,73,4044,₹ 730.00,247,40
248,12-10-2025,13,975,₹ 130.00,248,319
249,21-06-2025,91,1902,₹ 910.00,249,392
250,08-11-2025,29,1446,₹ 290.00,250,128
251,13-04-2025,18,4506,₹ 180.00,251,415
252,21-05-2025,55,4325,₹ 550.00,252,75
253,12-04-2025,52,3829,₹ 520.00,253,200
254,18-10-2025,74,2462,₹ 740.00,254,99
255,15-05-2025,47,3287,₹ 470.00,255,56
256,23-07-2025,92,210,₹ 920.00,256,442
257,27-10-2025,87,3606,₹ 870.00,257,269
258,01-11-2025,18,1770,₹ 180.00,258,417
259,08-01-2025,46,4645,₹ 460.00,259,436
260,23-04-2025,66,70,₹ 660.00,260,337
261,16-02-2025,42,505,₹ 420.00,261,28
262,28-08-2025,25,3768,₹ 250.00,262,269
263,05-02-2025,25,4461,₹ 250.00,263,287
264,02-09-2025,44,460,₹ 440.00,264,318
265,19-01-2025,32,1836,₹ 320.00,265,294
266,06-07-2025,96,775,₹ 960.00,266,281
267,17-09-2025,55,284,₹ 550.00,267,342
268,10-03-2025,23,2829,₹ 230.00,268,283
269,26-06-2025,10,4020,₹ 100.00,269,188
270,03-05-2025,77,2080,₹ 770.00,270,419
271,17-10-2025,20,2568,₹ 200.00,271,269
272,26-01-2025,31,1117,₹ 310.00,272,346
273,08-02-2025,91,2169,₹ 910.00,273,204
274,15-08-2025,20,3716,₹ 200.00,274,71
275,03-02-2025,14,997,₹ 140.00,275,345
276,02-01-2025,4,1983,₹ 40.00,276,297
277,16-09-2025,45,4965,₹ 450.00,277,46
278,31-01-2025,7,3265,₹ 70.00,278,478
279,06-04-2025,70,3697,₹ 700.00,279,275
280,08-04-2025,96,3956,₹ 960.00,280,61
281,09-02-2025,22,4755,₹ 220.00,281,427
282,27-03-2025,80,2215,₹ 800.00,282,29
283,22-04-2025,81,4116,₹ 810.00,283,23
284,02-09-2025,30,1876,₹ 300.00,284,456
285,18-02-2025,81,4102,₹ 810.00,285,207
286,12-03-2025,10,2274,₹ 100.00,286,436
287,06-09-2025,97,2268,₹ 970.00,287,368
288,08-08-2025,22,3152,₹ 220.00,288,387
289,03-07-2025,46,884,₹ 460.00,289,40
290,09-10-2025,95,1274,₹ 950.00,290,133
291,14-10-2025,34,1800,₹ 340.00,291,302
292,07-01-2025,64,3630,₹ 640.00,292,430
293,20-07-2025,10,592,₹ 100.00,293,451
294,13-05-2025,90,2229,₹ 900.00,294,315
295,04-02-2025,45,4704,₹ 450.00,295,222
296,01-06-2025,97,1269,₹ 970.00,296,104
297,28-04-2025,50,4769,₹ 500.00,297,39
298,25-09-2025,79,532,₹ 790.00,298,416
299,18-10-2025,11,4654,₹ 110.00,299,96
300,06-07-2025,30,4328,₹ 300.00,300,248
301,08-08-2025,75,1096,₹ 750.00,301,283
302,31-03-2025,82,3930,₹ 820.00,302,232
303,03-05-2025,87,3359,₹ 870.00,303,427
304,26-04-2025,82,1604,₹ 820.00,304,3
305,14-07-2025,64,4404,₹ 640.00,305,426
306,26-06-2025,33,3518,₹ 330.00,306,422
307,03-01-2025,100,3074,₹ 900.00,307,256
308,03-04-2025,96,1334,₹ 960.00,308,190
309,01-04-2025,87,3955,₹ 870.00,309,401
310,01-09-2025,59,2778,₹ 590.00,310,98
311,03-05-2025,25,3058,₹ 250.00,311,121
312,26-02-2025,81,3214,₹ 810.00,312,266
313,02-09-2025,48,1856,₹ 480.00,313,102
314,24-05-2025,17,4416,₹ 170.00,314,19
315,08-09-2025,89,1967,₹ 890.00,315,307
316,06-07-2025,25,2784,₹ 250.00,316,103
317,04-04-2025,68,4836,₹ 680.00,317,396
318,13-05-2025,92,426,₹ 920.00,318,108
319,06-06-2025,44,4601,₹ 440.00,319,480
320,06-05-2025,46,881,₹ 460.00,320,333
321,18-02-2025,47,2679,₹ 470.00,321,480
322,10-03-2025,54,1738,₹ 540.00,322,283
323,12-11-2025,44,1324,₹ 440.00,323,255
324,28-04-2025,97,4281,₹ 970.00,324,106
325,17-09-2025,24,829,₹ 240.00,325,237
326,14-07-2025,74,4478,₹ 740.00,326,156
327,27-07-2025,18,1894,₹ 180.00,327,458
328,31-05-2025,39,423,₹ 390.00,328,69
329,12-07-2025,1,3758,₹ 10.00,329,3
330,01-07-2025,29,4034,₹ 290.00,330,371
331,05-07-2025,8,4230,₹ 80.00,331,355
332,18-06-2025,53,1870,₹ 530.00,332,30
333,24-09-2025,26,3579,₹ 260.00,333,268
334,23-03-2025,11,3147,₹ 110.00,334,103
335,20-04-2025,30,4993,₹ 300.00,335,444
336,20-10-2025,7,1429,₹ 70.00,336,408
337,03-09-2025,56,3491,₹ 560.00,337,43
338,20-06-2025,63,57,₹ 630.00,338,209
339,11-04-2025,48,3800,₹ 480.00,339,82
340,13-09-2025,53,4505,₹ 530.00,340,104
341,18-10-2025,63,4520,₹ 630.00,341,29
342,17-10-2025,15,3589,₹ 150.00,342,88
343,02-08-2025,87,1242,₹ 870.00,343,473
344,25-04-2025,55,1443,₹ 550.00,344,458
345,07-04-2025,6,2472,₹ 60.00,345,12
346,04-04-2025,76,573,₹ 760.00,346,325
347,28-09-2025,10,3781,₹ 100.00,347,329
348,12-08-2025,77,4967,₹ 770.00,348,142
349,19-08-2025,18,4142,₹ 180.00,349,150
350,17-06-2025,29,2241,₹ 290.00,350,5
351,21-06-2025,57,4548,₹ 570.00,351,251
352,26-04-2025,27,3291,₹ 270.00,352,89
353,21-03-2025,22,2191,₹ 220.00,353,242
354,29-07-2025,32,4802,₹ 320.00,354,16
355,14-03-2025,90,2757,₹ 900.00,355,147
356,09-09-2025,28,2923,₹ 280.00,356,420
357,05-01-2025,60,2220,₹ 600.00,357,34
358,12-02-2025,20,3809,₹ 200.00,358,469
359,08-07-2025,74,2719,₹ 740.00,359,216
360,05-05-2025,2,2601,₹ 20.00,360,414
361,07-11-2025,33,4192,₹ 330.00,361,230
362,24-04-2025,86,3185,₹ 860.00,362,475
363,11-09-2025,37,3105,₹ 370.00,363,269
364,18-08-2025,46,1468,₹ 460.00,364,33
365,04-11-2025,49,2608,₹ 490.00,365,254
366,02-01-2025,3,3607,₹ 30.00,366,36
367,13-09-2025,4,1540,₹ 40.00,367,4
368,05-09-2025,12,2379,₹ 120.00,368,391
369,03-04-2025,53,30,₹ 530.00,369,409
370,14-04-2025,83,4260,₹ 830.00,370,118
371,15-10-2025,36,4972,₹ 360.00,371,295
372,26-04-2025,55,1307,₹ 550.00,372,40
373,08-09-2025,85,694,₹ 850.00,373,79
374,06-06-2025,31,1093,₹ 310.00,374,226
375,06-11-2025,85,712,₹ 850.00,375,449
376,12-08-2025,53,510,₹ 530.00,376,156
377,11-08-2025,29,4873,₹ 290.00,377,108
378,13-03-2025,34,2752,₹ 340.00,378,289
379,03-03-2025,1,1671,₹ 10.00,379,354
380,12-10-2025,13,3364,₹ 130.00,380,432
381,04-10-2025,71,4706,₹ 710.00,381,13
382,22-07-2025,60,2201,₹ 600.00,382,424
383,14-09-2025,88,3635,₹ 880.00,383,481
384,21-05-2025,23,1211,₹ 230.00,384,341
385,28-01-2025,87,2512,₹ 870.00,385,299
386,28-09-2025,60,669,₹ 600.00,386,138
387,28-05-2025,31,1567,₹ 310.00,387,128
388,01-08-2025,43,2325,₹ 430.00,388,430
389,17-03-2025,48,4705,₹ 480.00,389,444
390,11-11-2025,98,3395,₹ 980.00,390,447
391,29-07-2025,40,980,₹ 400.00,391,376
392,15-01-2025,26,3684,₹ 260.00,392,477
393,16-03-2025,39,4794,₹ 390.00,393,36
394,21-02-2025,65,3872,₹ 650.00,394,328
395,04-02-2025,19,3795,₹ 190.00,395,340
396,15-10-2025,14,4038,₹ 140.00,396,131
397,23-06-2025,62,1583,₹ 620.00,397,352
398,20-07-2025,11,487,₹ 110.00,398,241
399,03-11-2025,26,1360,₹ 260.00,399,128
400,29-05-2025,39,4433,₹ 390.00,400,18
401,28-09-2025,59,310,₹ 590.00,401,29
402,29-04-2025,69,910,₹ 690.00,402,126
403,19-03-2025,66,336,₹ 660.00,403,116
404,08-06-2025,83,1177,₹ 830.00,404,346
405,14-01-2025,96,593,₹ 960.00,405,221
406,15-02-2025,49,1487,₹ 490.00,406,416
407,15-06-2025,22,4941,₹ 220.00,407,293
408,08-09-2025,16,2257,₹ 160.00,408,376
409,25-08-2025,32,4647,₹ 320.00,409,246
410,18-01-2025,49,2306,₹ 490.00,410,322
411,08-10-2025,12,3444,₹ 120.00,411,206
412,22-01-2025,12,1206,₹ 120.00,412,393
413,01-11-2025,85,2918,₹ 850.00,413,396
